"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1851683896024551442","Wed Oct 30 17:57:49 +0000 2024","0","@neptsunus kangen siapa :(","1851684952502604261","","neptsunus","in","","0","0","0","https://x.com/gempwiy/status/1851684952502604261","877621309248634881","gempwiy"
"1851391871626723750","Wed Oct 30 17:57:08 +0000 2024","0","@vasbunva bener banget anjerot","1851684777541410825","","vasbunva","in","","0","0","0","https://x.com/gempwiy/status/1851684777541410825","877621309248634881","gempwiy"
"1851457030869172281","Wed Oct 30 17:57:00 +0000 2024","0","@geqmai tahun ini iya tp nangis seneng","1851684745807270316","","geqmai","in","","0","0","0","https://x.com/gempwiy/status/1851684745807270316","877621309248634881","gempwiy"
"1851681087644406038","Wed Oct 30 17:53:13 +0000 2024","0","@ceberapa WKWKWKWKWKWKKW BOLEH","1851683791787708437","","ceberapa","in","","0","0","0","https://x.com/gempwiy/status/1851683791787708437","877621309248634881","gempwiy"
"1851578678112850099","Wed Oct 30 17:52:55 +0000 2024","0","@_inimichi kocok @aktyis","1851683715795292317","","_inimichi","in","","0","1","0","https://x.com/gempwiy/status/1851683715795292317","877621309248634881","gempwiy"
"1851414721695793400","Wed Oct 30 17:52:42 +0000 2024","0","@babacodan ditempatku adanya jam 6 doang anj nanti sholat nya gmn","1851683663710425346","","babacodan","in","","0","1","0","https://x.com/gempwiy/status/1851683663710425346","877621309248634881","gempwiy"
"1851535925547016223","Wed Oct 30 17:52:15 +0000 2024","0","@Bintang_Nayna basing lah","1851683549466030238","","Bintang_Nayna","in","","0","0","0","https://x.com/gempwiy/status/1851683549466030238","877621309248634881","gempwiy"
"1851612991382487258","Wed Oct 30 17:47:07 +0000 2024","0","@desndam sayang","1851682256223686742","","desndam","in","","0","1","0","https://x.com/gempwiy/status/1851682256223686742","877621309248634881","gempwiy"
"1851680653097734159","Wed Oct 30 17:40:44 +0000 2024","4","kek ritsuki lirikan mautnya WKWK","1851680653097734159","","","in","","0","0","0","https://x.com/Friscaa_Y/status/1851680653097734159","121764576","Friscaa_Y"
"1851676040630063601","Wed Oct 30 17:39:10 +0000 2024","0","@geallatoo bukan ‍️","1851680256039751853","","geallatoo","in","","0","0","0","https://x.com/gempwiy/status/1851680256039751853","877621309248634881","gempwiy"
"1851675283885297951","Wed Oct 30 17:20:47 +0000 2024","0","@aktyis kenapa bos","1851675632641655141","","aktyis","in","","0","1","0","https://x.com/gempwiy/status/1851675632641655141","877621309248634881","gempwiy"
"1851669515891020276","Wed Oct 30 17:20:40 +0000 2024","0","@hijruah watdehek","1851675601205387551","","hijruah","in","","0","0","0","https://x.com/gempwiy/status/1851675601205387551","877621309248634881","gempwiy"
"1851669515891020276","Wed Oct 30 17:08:52 +0000 2024","0","@ehsundulu gambar mata","1851672631482945947","","ehsundulu","in","","0","0","0","https://x.com/gempwiy/status/1851672631482945947","877621309248634881","gempwiy"
"1851669515891020276","Wed Oct 30 17:02:25 +0000 2024","0","@hijruah krayon buat anak kecil","1851671009025495485","","hijruah","in","","0","1","0","https://x.com/gempwiy/status/1851671009025495485","877621309248634881","gempwiy"
"1851589575682261156","Wed Oct 30 16:56:36 +0000 2024","0","@frankoclost tabarkallahu","1851669546756903090","","frankoclost","in","","0","0","0","https://x.com/gempwiy/status/1851669546756903090","877621309248634881","gempwiy"
"1851669515891020276","Wed Oct 30 16:56:29 +0000 2024","0","eyelinerku habis buat gambar doang","1851669515891020276","","","in","","0","2","0","https://x.com/gempwiy/status/1851669515891020276","877621309248634881","gempwiy"
"1851529501945069757","Wed Oct 30 16:46:51 +0000 2024","0","@sidewakl @munvess lu gabut ya nan","1851667090299855252","","sidewakl","in","","0","0","0","https://x.com/gempwiy/status/1851667090299855252","877621309248634881","gempwiy"
"1851565927625826399","Wed Oct 30 16:32:53 +0000 2024","0","@ayyuaspita19 ada aja ritsuki nih","1851663578279059700","","ayyuaspita19","in","مكة","0","0","0","https://x.com/pevtrpn/status/1851663578279059700","896322446285979649","pevtrpn"
"1851630127190552941","Wed Oct 30 16:32:36 +0000 2024","0","@aktyis kok bisa njir","1851663506078310725","","aktyis","in","","0","0","0","https://x.com/gempwiy/status/1851663506078310725","877621309248634881","gempwiy"
